"id","lat","lon","time","climbing","mean_ta_year","sd_ta_year","mean_ta_summer","sd_ta_summer","mean_ta_winter","sd_ta_winter","energy_gain_per_year","growth_rate_per_year","annual_activity_hours","annual_activity_days","first_activity_day","last_activity_day","length_of_activity_season","mean_height","std_height","mean_height_open","mean_height_shaded","percentage_to_warm","percentage_to_cool","percentage_mixed","percentage_on_open_tree","percentage_on_shaded_tree","percentage_of_essential_from_open_tree","percentage_of_essential_from_shaded_tree"
10000,56.12391663,-71.73504639,"future","climbing",275.1599276,13.35452648,290.3151776,7.12105782,260.6835347,6.420084984,172696.2903,4.080957872,787.67,91.85,131.55,272.9,141.35,4.800809687,12.53535268,4.490013793,191.5359116,96.42617804,0.135865823,3.437956137,99.83383977,0.16616023,14.2045269,0.575919562
10036,40.960186,-77.27783203,"future","climbing",286.8419598,11.64574887,299.1561011,5.948404622,274.1535554,7.032827891,475335.5709,12.49432987,2119.655,211.7,55.8,331.7,275.9,20.2468586,55.34468129,3.022879496,197.0679892,91.16389995,8.836100046,0,91.12372421,8.876275794,9.524498767,2.514346594
10069,52.1734848,-73.10824585,"future","climbing",275.3249902,14.89428617,291.4169361,6.150048305,258.3970922,9.530884721,239801.9729,5.946495845,1070.973333,115.05,128.8,277.15,148.35,3.184290923,3.028096273,3.18430181,3,99.82530466,0,0.174695338,99.99409243,0.005907572,12.54055027,0.015268508
10103,36.72941971,-78.08682251,"future","climbing",292.0986205,11.12512679,303.4211644,5.666427625,280.0926385,7.461110069,539578.5448,14.28028455,2496.985,274.25,13.8,354.35,340.55,42.46939558,78.2903728,3.17586163,197.2854596,79.84219817,20.15780183,0,79.75703707,20.24296293,12.02113887,5.271815841
10136,47.18501663,-74.67443848,"future","climbing",280.1876984,13.90959371,294.7434894,6.212426758,264.3972472,8.830069296,362554.0609,9.359003893,1601.453333,162.55,105.65,299.45,193.8,5.894255068,23.41733528,3.044029409,198,98.49681371,1.461984288,0.041202,98.53801571,1.461984288,12.38530249,1.857020742
10171,26.08411026,-80.34423828,"future","climbing",300.9247464,6.209421577,304.9142031,4.615086247,296.018631,5.774241691,896019.2091,24.18933501,4057.205,364.5,1.05,365,363.95,111.3781074,96.32203761,6.423458809,194.7414873,44.9757611,54.94667442,0.077564475,44.26733889,55.73266111,6.035056305,7.470378059
10203,43.02853394,-75.70324707,"future","climbing",284.7405975,11.63832403,296.8708189,5.596311385,272.0156158,7.581568093,436926.4396,11.42655602,1932.153333,190.85,78,322.45,244.45,7.53920102,29.34966924,3.017346563,187.4664888,97.69559637,2.304403626,0,97.5484546,2.451545397,10.1125557,1.156945725
10236,53.20292282,-71.55102539,"future","climbing",274.5492082,14.94124081,291.0201147,6.248054601,257.8518,9.388329529,216049.5792,5.286179301,969.825,106.55,130.55,276.2,145.65,4.00076968,10.59766979,3.748166259,194.1,98.80743847,0.106162747,1.086398783,99.86729657,0.132703434,12.60884911,0.464022768
10271,41.04927826,-75.912323,"future","climbing",286.0528192,11.44772837,298.1785007,5.639387482,273.6159898,7.171864948,457937.9262,12.01067535,2034.151667,201.2,66.45,324.4,257.95,11.39977554,39.5535312,3.01805846,195.8069585,95.70118083,4.298819167,0,95.65238606,4.347613936,10.05410091,1.631967764
10303,51.00912094,-72.06103516,"future","climbing",275.836829,14.19763139,290.9882274,6.123008925,259.7894863,8.80990841,254101.6593,6.344027128,1133.983333,124.35,120.8,284.45,163.65,3.083433519,3.010257376,3.044144939,179.71875,99.97984698,0.020153024,0,99.97776218,0.02223782,14.19566888,0.080559891
