"id","lat","lon","time","climbing","mean_ta_year","sd_ta_year","mean_ta_summer","sd_ta_summer","mean_ta_winter","sd_ta_winter","energy_gain_per_year","growth_rate_per_year","annual_activity_hours","annual_activity_days","first_activity_day","last_activity_day","length_of_activity_season","mean_height","std_height","mean_height_open","mean_height_shaded","percentage_to_warm","percentage_to_cool","percentage_mixed","percentage_on_open_tree","percentage_on_shaded_tree","percentage_of_essential_from_open_tree","percentage_of_essential_from_shaded_tree"
10000,56.12391663,-71.73504639,"future","not climbing",275.1599276,13.35452648,290.3151776,7.12105782,260.6835347,6.420084984,95562.89194,1.936649396,474.7033333,69.2,136.4,256.9,120.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10036,40.960186,-77.27783203,"future","not climbing",286.8419598,11.64574887,299.1561011,5.948404622,274.1535554,7.032827891,355007.4658,9.14920855,1605.71,185.1,83.05,309.95,226.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10069,52.1734848,-73.10824585,"future","not climbing",275.3249902,14.89428617,291.4169361,6.150048305,258.3970922,9.530884721,136407.1842,3.072120722,653.545,92.25,133.1,262.5,129.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10103,36.72941971,-78.08682251,"future","not climbing",292.0986205,11.12512679,303.4211644,5.666427625,280.0926385,7.461110069,386118.3823,10.01409203,1853.668333,235.3,44.9,334.85,289.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10136,47.18501663,-74.67443848,"future","not climbing",280.1876984,13.90959371,294.7434894,6.212426758,264.3972472,8.830069296,240480.7547,5.965365981,1097.878333,138.6,109.1,280.45,171.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10171,26.08411026,-80.34423828,"future","not climbing",300.9247464,6.209421577,304.9142031,4.615086247,296.018631,5.774241691,741394.8092,19.8907767,3395.291667,362.95,1.1,364.8,363.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10203,43.02853394,-75.70324707,"future","not climbing",284.7405975,11.63832403,296.8708189,5.596311385,272.0156158,7.581568093,310288.2888,7.906015429,1393.571667,164.65,98.95,299.8,200.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10236,53.20292282,-71.55102539,"future","not climbing",274.5492082,14.94124081,291.0201147,6.248054601,257.8518,9.388329529,120654.5622,2.63419783,588.1733333,84.3,133.75,260.25,126.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10271,41.04927826,-75.912323,"future","not climbing",286.0528192,11.44772837,298.1785007,5.639387482,273.6159898,7.171864948,336568.1038,8.636594285,1516.535,175.2,96.3,302.7,206.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10303,51.00912094,-72.06103516,"future","not climbing",275.836829,14.19763139,290.9882274,6.123008925,259.7894863,8.80990841,137934.1363,3.114569989,665.915,96.15,126,264.1,138.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
