"id","lat","lon","time","climbing","mean_ta_year","sd_ta_year","mean_ta_summer","sd_ta_summer","mean_ta_winter","sd_ta_winter","energy_gain_per_year","growth_rate_per_year","annual_activity_hours","annual_activity_days","first_activity_day","last_activity_day","length_of_activity_season","mean_height","std_height","mean_height_open","mean_height_shaded","percentage_to_warm","percentage_to_cool","percentage_mixed","percentage_on_open_tree","percentage_on_shaded_tree","percentage_of_essential_from_open_tree","percentage_of_essential_from_shaded_tree"
10000,56.12391663,-71.73504639,"past","climbing",269.3278366,15.10719634,285.9692808,6.967670476,251.6580079,8.389155315,72623.88665,1.298945049,351.73,48.7,151.15,254,102.85,4.556941432,10.36374152,4.555236779,102,96.97711847,0,3.022881534,99.99825065,0.001749353,14.98846295,0.012567551
10036,40.960186,-77.27783203,"past","climbing",282.5720496,11.64509951,294.5661811,5.819582821,269.9331158,7.860818195,395360.269,10.27101648,1727.193333,180.35,87.9,314.95,227.05,3.632072774,11.02918941,3.006536006,191.1854839,99.67920077,0.320799228,0,99.66758409,0.332415913,9.316311564,0.358295208
10069,52.1734848,-73.10824585,"past","climbing",270.2813362,16.03088508,287.6001828,6.401624719,252.0149921,11.29578925,128800.4814,2.860654383,596.7866667,76.3,145.8,263.3,117.5,3.270958761,4.174723763,3.270958761,NA,99.57523261,0,0.424767389,100,0,13.95577445,0
10103,36.72941971,-78.08682251,"past","climbing",288.0617211,10.73243026,298.7551965,5.496777119,276.7242734,7.580226429,521485.573,13.77729993,2307.79,243.25,28.1,346.15,318.05,12.6496163,42.26812652,3.011230985,197.0831333,95.05681711,4.943182888,0,95.03360084,4.966399157,11.1135652,2.291068451
10136,47.18501663,-74.67443848,"past","climbing",275.4036694,14.56334301,290.5522729,6.261200826,259.1621443,10.32475041,252224.149,6.291832343,1120.17,125.85,122.6,283.6,161,3.015817031,0.666058867,3.015820612,3,99.97809276,0,0.021907245,99.97736251,0.022637486,14.17584215,0.133909287
10171,26.08411026,-80.34423828,"past","climbing",297.2729141,6.074604203,300.9797978,4.091828818,292.5761299,5.698110556,856218.1826,23.08286648,3768.693333,361,1.05,364.95,363.9,6.24832035,24.31797485,3.343442788,147.6338028,98.42313781,1.553232883,0.023629303,97.98678334,2.013216657,6.573861285,0.529661895
10203,43.02853394,-75.70324707,"past","climbing",280.3984536,12.1272659,292.6026159,5.921756405,267.1441362,8.98171259,339667.6067,8.722760465,1485.103333,158.85,100.5,313.05,212.55,3.193734974,5.997076423,3.011091397,139.8421053,99.90632903,0.093670965,0,99.86651887,0.133481125,11.40761744,0.292417661
10236,53.20292282,-71.55102539,"past","climbing",269.289841,16.3461174,287.2635941,6.460606331,250.7185836,11.12932733,113807.8094,2.4438581,536.6133333,70,148.25,263.25,115,4.141199572,9.312195948,4.141199572,NA,98.16774621,0,1.832253787,100,0,13.99765123,0
10271,41.04927826,-75.912323,"past","climbing",281.7629439,11.48643625,293.6202352,5.583180668,269.3237052,7.974995163,366319.8674,9.463693314,1602.111667,169,98,312,214,3.633059702,11.03467481,3.010137982,181.8652482,99.68053486,0.319465143,0,99.65171713,0.348282875,10.24365389,0.707227767
10303,51.00912094,-72.06103516,"past","climbing",270.8811339,15.11924562,287.2562394,6.235556661,253.7411368,10.39593515,147174.6644,3.371456669,676.6583333,85,142.35,269.25,126.9,3.021943283,0.443855877,3.021943486,3,100,0,0,99.99907295,0.00092705,15.82361484,0.007630093
