"id","lat","lon","time","climbing","mean_ta_year","sd_ta_year","mean_ta_summer","sd_ta_summer","mean_ta_winter","sd_ta_winter","energy_gain_per_year","growth_rate_per_year","annual_activity_hours","annual_activity_days","first_activity_day","last_activity_day","length_of_activity_season","mean_height","std_height","mean_height_open","mean_height_shaded","percentage_to_warm","percentage_to_cool","percentage_mixed","percentage_on_open_tree","percentage_on_shaded_tree","percentage_of_essential_from_open_tree","percentage_of_essential_from_shaded_tree"
10000,56.12391663,-71.73504639,"past","not climbing",269.3278366,15.10719634,285.9692808,6.967670476,251.6580079,8.389155315,31775.13835,0.163349846,188.875,33,152.25,241.25,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10036,40.960186,-77.27783203,"past","not climbing",282.5720496,11.64509951,294.5661811,5.819582821,269.9331158,7.860818195,283783.8232,7.169191286,1258.071667,157.45,99.2,292.4,193.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10069,52.1734848,-73.10824585,"past","not climbing",270.2813362,16.03088508,287.6001828,6.401624719,252.0149921,11.29578925,62360.24996,1.013615949,332.735,55.45,150.5,243.85,93.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10103,36.72941971,-78.08682251,"past","not climbing",288.0617211,10.73243026,298.7551965,5.496777119,276.7242734,7.580226429,384215.8293,9.961201055,1729.686667,207.8,62.95,317.35,254.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10136,47.18501663,-74.67443848,"past","not climbing",275.4036694,14.56334301,290.5522729,6.261200826,259.1621443,10.32475041,146529.0609,3.353508893,694.7583333,101.45,125.45,263.95,138.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10171,26.08411026,-80.34423828,"past","not climbing",297.2729141,6.074604203,300.9797978,4.091828818,292.5761299,5.698110556,709017.3397,18.99068304,3120.766667,355.05,1.1,364.55,363.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10203,43.02853394,-75.70324707,"past","not climbing",280.3984536,12.1272659,292.6026159,5.921756405,267.1441362,8.98171259,219147.6519,5.372305724,992.4733333,134.6,107.55,284.65,177.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10236,53.20292282,-71.55102539,"past","not climbing",269.289841,16.3461174,287.2635941,6.460606331,250.7185836,11.12932733,54290.47913,0.78927632,299.265,50.9,152.6,249.2,96.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10271,41.04927826,-75.912323,"past","not climbing",281.7629439,11.48643625,293.6202352,5.583180668,269.3237052,7.974995163,245955.1577,6.117554385,1103.408333,145.7,108.05,287.4,179.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10303,51.00912094,-72.06103516,"past","not climbing",270.8811339,15.11924562,287.2562394,6.235556661,253.7411368,10.39593515,65253.7605,1.094055542,352.22,58.25,146.35,246.35,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
