height,wv,air_temp,trunk_temp
3,1.27999997,307.1799927,308.7888489
12,2.36999989,305.4599915,307.3685608
21,2.8599999,304.4500122,306.5328064
30,3.17000008,303.730011,305.9362793
48,3.5999999,302.7200012,305.0983582
66,3.88000011,302,304.5002441
84,4.0999999,301.4500122,304.0429688
102,4.28000021,300.9899902,303.6601868
120,4.42999983,300.6099854,303.343811
138,4.55999994,300.2799988,303.0689392
156,4.67000008,299.980011,302.8189087
174,4.76999998,299.7200012,302.6021423
198,4.88999987,299.4100037,302.3435669
