daylight?,True,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
temp in shade while lying,22.229672972944627,18.972478007543486,17.727027039096356,16.946375370208273,16.397210519781538,16.009402505994444,15.694698001550421,15.395935863893953,15.087545730031025,14.790869119105423,17.863320287623765,24.312111178202656,27.008782082656808,28.405327086477655,29.715413289571416,31.319084766971287,33.2469366930506,34.43088462992557,35.28144999588176,35.69500198010928,35.58386960567475,34.89944862633831,33.610957621877276,32.09745633192779,
temp in shade while standing,22.854308504391952,nan,nan,nan,nan,nan,nan,nan,nan,nan,18.743191597729265,25.920623706855565,28.623958581065324,29.87918616262118,30.988014189081127,32.418560365581186,34.230558069553126,35.36573434622193,36.19960427964213,36.583001383043666,36.4282431264416,35.68814561216914,34.334544385918036,32.81994822983762,
temp in open while lying,22.378990840505992,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.654924961497272,25.088746114586172,29.33174384233655,32.54255993133103,35.45774841395513,38.08280164384843,40.35392570275167,41.663557788680635,42.3049783118297,42.04170823188264,40.88711999228133,38.90349924907463,36.142119082705165,33.250473226716565,
temp in open while standing,22.839817391777103,nan,nan,nan,nan,nan,nan,nan,nan,nan,18.52131841992224,26.583058562753763,30.64023823555209,33.49294125894909,36.09723256448501,38.550622130525994,40.75073584601296,42.00510233362053,42.65061256990248,42.403536131444525,41.265543425875194,39.30179553365008,36.571095725852615,33.774930641848925,
temp on shaded tree while lying at the height of: 3 cm,22.149357527493635,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.89012494034597,24.744970151814584,27.512802236000198,28.889147976188895,30.14965387877976,31.68975032821993,33.564405133968705,34.73376071919802,35.60175301378291,36.063871320745136,36.023326694922105,35.40871014206414,34.14943656171238,32.54736016302974,
temp on shaded tree while lying at the height of: 12 cm,22.019835922124628,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.555117832736073,23.582510331040112,26.252918302828903,27.893503856671714,29.34008691762915,31.12193915357443,33.29145537614397,34.63223320854536,35.533342968822865,36.00127436109295,35.95368970554733,35.34237026836786,34.092552953288305,32.320886408426645,
temp on shaded tree while lying at the height of: 21 cm,21.990801543000373,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.444003956782296,23.130359509470622,25.75531869145368,27.518497659395848,29.039605274106577,30.88015095130322,33.111715490599806,34.47532160143544,35.371392056816035,35.84150910980617,35.81194831370095,35.23286298384647,34.01761420712029,32.21903213794991,
temp on shaded tree while lying at the height of: 30 cm,21.97425820527218,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.381133898543908,22.833690059110836,25.44362970915887,27.292670235049457,28.860036059439437,30.7211113694201,32.969998985217046,34.32922133310234,35.21816267178866,35.68939424916039,35.684662694660574,35.128117596245374,33.94332173412789,32.15112658992717,
temp on shaded tree while lying at the height of: 48 cm,21.962643719184427,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.311197845461606,22.473336703109965,25.029201942779537,27.000345445865037,28.622875212965596,30.51555696030931,32.75302897964946,34.08337262262779,34.957688370822154,35.42950868043857,35.45161320446539,34.95128480634975,33.823292683969726,32.05974023379002,
temp on shaded tree while lying at the height of: 66 cm,21.962182526148695,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.274484838485705,22.242449858757197,24.765715503521108,26.798897861906823,28.473808026759457,30.361571937928716,32.58513313162064,33.88839933135762,34.742630821521345,35.21443754074238,35.25941499874631,34.80633104686308,33.73357120984224,31.99627593632789,
temp on shaded tree while lying at the height of: 84 cm,21.97097610062093,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.244004582420132,22.059295095388052,24.54836843977995,26.6608436605992,28.356797101282893,30.24713917026429,32.45230828976361,33.71746920649929,34.55682874032277,35.02848523541559,35.09803902824916,34.6870172669943,33.648281380854826,31.941253961504344,
temp on shaded tree while lying at the height of: 102 cm,21.97007328064916,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.22876033732331,21.91316584661871,24.39414969081463,26.549551461322153,28.276186853966806,30.160562732010476,32.333720529542745,33.57478508639912,34.3986001259895,34.870102341025245,34.964980001162985,34.58088485853898,33.57735666005175,31.90095738072307,
temp on shaded tree while lying at the height of: 120 cm,21.972036306258246,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.212974548044087,21.796585223986654,24.261170955032867,26.456602341115286,28.196538948316288,30.082031533051918,32.232453581201014,33.446897525972304,34.26231863614436,34.73322924034596,34.837626297046484,34.48945690866361,33.52195959047066,31.863375520154364,
temp on shaded tree while lying at the height of: 138 cm,21.97661507926648,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.20023908806519,21.694857521292136,24.13596259698926,26.377980927138253,28.138350476238145,30.01134887185208,32.14120883837825,33.33358339022203,34.13219428948804,34.602894673298636,34.73417539428533,34.40564025424635,33.46595779142092,31.828456777558415,
temp on shaded tree while lying at the height of: 156 cm,21.982644913299907,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.194323310868697,21.607476244568602,24.031176445299252,26.31669366769205,28.087507431963388,29.956384718889524,32.06055917702258,33.22880342236351,34.018030892410195,34.48860303363716,34.62951171057671,34.32925539141769,33.418175486452924,31.804454918740817,
temp on shaded tree while lying at the height of: 174 cm,21.990072479532614,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.186688154144008,21.534065644870907,23.93992909978374,26.24930623100346,28.042652661047214,29.90146452222723,31.99107973112757,33.1317772889945,33.92106063232768,34.390747166192796,34.54139841564512,34.26138109293544,33.369971160603484,31.781834440199532,
