daylight?,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,False,
temp in shade while lying,-3.984494183151469,-3.984494183151469,-3.984494183151469,-3.984494183151469,-3.984494183151469,-3.984494183151469,-3.984494183151469,-3.984494183151469,-3.984494183151469,-3.984494183151469,-3.984494183151469,-3.984494183151469,-12.120031974912422,-11.311344730710971,-8.82580810808679,-7.38384997225063,-6.0059985764374915,-5.110875529080943,-4.507909052191792,-4.321037950518416,-4.448443973891017,-4.886488888554084,-4.624665811523812,-4.624665811523812,
temp in shade while standing,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-10.713344518627423,-10.386223744843335,-7.862744995954699,-6.425200866606019,-4.972257264204529,-4.092679633044895,-3.4804918253132087,-3.3294336581238895,-3.418960387174195,-3.3147469173847526,-2.119173873232228,nan,
temp in open while lying,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-12.83600092116103,-10.675214993253576,-7.1168741543855845,-4.761365938249867,-2.809075822898251,-1.774352848244007,-1.416331691153232,-1.924315358477429,-3.125780547653335,-4.982597955167989,-6.515034876033781,nan,
temp in open while standing,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-11.308119301070747,-9.819722454534258,-6.333085538694206,-4.094784206063139,-2.154996132873123,-1.1549555422230355,-0.7711497196948471,-1.2183052627547681,-2.2324226041066595,-3.2850706415540003,-3.1903867090458675,nan,
temp on shaded tree while lying at the height of: 3 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-12.172542988273904,-10.767860101918984,-8.131774089652197,-6.658332479549131,-5.279193223911534,-4.3775929521364105,-3.7497058177317513,-3.532970311066549,-3.648474884278073,-4.169727047314723,-4.3099736385465235,nan,
temp on shaded tree while lying at the height of: 12 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-13.892255918781586,-12.564542709095292,-9.6289346913847,-8.003196717052788,-6.44556676162324,-5.413528488781253,-4.6516402726589945,-4.338651391815915,-4.3556420108002385,-4.700086166440428,-6.599757116188528,nan,
temp on shaded tree while lying at the height of: 21 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-14.546953731368376,-13.273398888533166,-10.234938721436151,-8.57092454430051,-6.9735684877312,-5.896724050754756,-5.079374110905519,-4.7003731285751655,-4.649460893785147,-4.917846491234798,-6.868735411810803,nan,
temp on shaded tree while lying at the height of: 30 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-14.957283508578882,-13.713349605770816,-10.625873243945591,-8.967935723354628,-7.329676699715094,-6.225780620059993,-5.362230106237007,-4.942974270053469,-4.846025997062554,-5.066285771842161,-7.025192804357744,nan,
temp on shaded tree while lying at the height of: 48 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-15.501565662264568,-14.325547810259764,-11.156361721446615,-9.49323395131023,-7.821379254172825,-6.689998570790749,-5.772568014157628,-5.289928454980043,-5.109951407883159,-5.2390710859566525,-7.238176448853551,nan,
temp on shaded tree while lying at the height of: 66 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-15.86713445741509,-14.716207930447013,-11.51873375029038,-9.857577630474509,-8.180547315391038,-7.02005926018694,-6.068534054125848,-5.531942815827392,-5.298543490218947,-5.367490445407839,-7.392534705471974,nan,
temp on shaded tree while lying at the height of: 84 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-16.120247850072815,-15.02839637322893,-11.798499307504358,-10.134966613186009,-8.446788680661825,-7.277049448792354,-6.2884893465057985,-5.717139323081881,-5.4412446975893545,-5.453722052431601,-7.4956956696353245,nan,
temp on shaded tree while lying at the height of: 102 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-16.34601770388923,-15.271412504585442,-12.02269475085103,-10.36903697452334,-8.666417127666989,-7.490746631749744,-6.478232037910914,-5.875437176116691,-5.555666799459971,-5.516704983219142,-7.5979050768053185,nan,
temp on shaded tree while lying at the height of: 120 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-16.538688409508836,-15.486040007847237,-12.21356098427907,-10.574178417585983,-8.859335980051185,-7.672294300398391,-6.639730633491183,-6.003494906206583,-5.652816232588862,-5.579300299865906,-7.672727220185777,nan,
temp on shaded tree while lying at the height of: 138 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-16.674470942786343,-15.660682818558882,-12.37302991193593,-10.74315389421497,-9.032467004781665,-7.835531499919284,-6.776907055506342,-6.121497922375681,-5.732704288437901,-5.641534866903896,-7.725633388680421,nan,
temp on shaded tree while lying at the height of: 156 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-16.816357148773704,-15.807846568800585,-12.532344729953934,-10.890437745044437,-9.185605315200803,-7.980209184514877,-6.896437204163192,-6.222457246989734,-5.801864774586534,-5.686141300244344,-7.778368738976042,nan,
temp on shaded tree while lying at the height of: 174 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-16.950775179006996,-15.946944756812968,-12.651516533668541,-11.030392537115688,-9.311176870493853,-8.106199917800723,-7.0093542814936995,-6.316797892467491,-5.871071595073431,-5.725618735814805,-7.830914999894901,nan,
temp on shaded tree while lying at the height of: 198 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-17.08450563606158,-16.120323312941878,-12.810660106395062,-11.178236794812278,-9.465346395085874,-8.25206351531881,-7.148311105933772,-6.425468706842423,-5.951036190855973,-5.769967503135831,-7.904377154703582,nan,
