daylight?,True,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,
temp in shade while lying,40.88848516887521,40.88848516887521,40.88848516887521,40.88848516887521,40.88848516887521,40.88848516887521,40.88848516887521,40.88848516887521,40.88848516887521,40.88848516887521,40.88848516887521,33.62134983206869,36.47887682613083,39.472235939289135,41.29177493321998,43.31526993643644,44.87083641737729,46.13846155239759,46.89905779545609,47.17738627278612,46.843222908674306,46.03319492645471,44.684462596946275,42.957259141324414,
temp in shade while standing,41.598820774071726,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,34.27401363924497,37.18898661343559,40.242898694403664,42.010349450128615,44.00125654756738,45.54791704671209,46.84794620362965,47.59877769948258,47.835682300336714,47.42211239937967,46.55662678308761,45.21903822008727,43.488684368321344,
temp in open while lying,41.18159087232749,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,33.704025355647616,37.807667492512564,42.43902525444969,45.83352562137566,49.27997655079349,51.897282516159635,53.658162659995014,54.324337859729496,54.06041043661804,52.82159990113735,50.83736572717805,48.174177703658756,44.42453667884757,
temp in open while standing,41.738790365507214,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,34.303329251493324,38.338628577518534,42.846590101792685,46.04120854786942,49.25667336506092,51.705529447880906,53.47377710546516,54.115910983460026,53.803633445937294,52.45379377261088,50.41435532350579,47.79573245397006,43.967410292836576,
temp on shaded tree while lying at the height of: 3 cm,40.69988778522696,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,33.976992538393745,36.976884280619174,39.9502808214238,41.70322284198164,43.64130859420055,45.13369063055137,46.36991518099609,47.13691603612091,47.45122276042275,47.169026304328554,46.41480250754449,45.0971876824716,43.28325683465533,
temp on shaded tree while lying at the height of: 12 cm,40.59504023947744,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,33.978220087954355,36.928298946555174,39.8844395222593,42.013140551289496,44.030894087230536,45.50856735586342,46.783981604332666,47.5342468953765,47.79182928986404,47.41098165824582,46.56486139161797,45.196672199921636,43.58915747272255,
temp on shaded tree while lying at the height of: 21 cm,40.5340157904688,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,33.96300340084679,36.840105323278124,39.75269940395958,41.98056506430191,44.003341557012334,45.43763930043974,46.69834711047912,47.42647248213461,47.683038109443714,47.28878084463099,46.46902967834319,45.16130289207257,43.646678714936854,
temp on shaded tree while lying at the height of: 30 cm,40.494189516779045,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,33.948289920759976,36.74981129641941,39.620096612991745,41.9075436116583,43.91173635151296,45.302526960313855,46.53541431626576,47.26449865300032,47.523693291622635,47.13234144071788,46.34320709923213,45.11166025556679,43.68693409146647,
temp on shaded tree while lying at the height of: 48 cm,40.4332834097512,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,33.92611547505368,36.600796700386525,39.40496329084351,41.741156718255866,43.71312130122277,45.022879681528025,46.22464339697427,46.929549383968435,47.19064895839625,46.823568666699884,46.108032268002376,45.0060882547229,43.74118468517423,
temp on shaded tree while lying at the height of: 66 cm,40.38583369487321,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,33.90734881237171,36.47424603834088,39.226085529246234,41.59077775853393,43.52229747913469,44.77451932551435,45.93901577509189,46.63039918864172,46.89536486688746,46.551132594217336,45.90020526663801,44.912445085491186,43.783782750547346,
temp on shaded tree while lying at the height of: 84 cm,40.34954374642888,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,33.886978087668524,36.371793799259194,39.07472714154375,41.447818323237186,43.35281397960637,44.54475658971921,45.68524338871731,46.362230002715364,46.635663335337426,46.31490385551382,45.723742861954804,44.83179655551527,43.80985274913667,
temp on shaded tree while lying at the height of: 102 cm,40.31468840365113,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,33.87289992455561,36.28154851635986,38.940647181367524,41.324749706269756,43.20028121193093,44.346107233603846,45.45476592142194,46.12874987566795,46.40633296484435,46.112196569841444,45.56597581847967,44.75932873373557,43.83598031983689,
