daylight?,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,False,False,
temp in shade while lying,-15.916755392366895,-15.916755392366895,-15.916755392366895,-15.916755392366895,-15.916755392366895,-15.916755392366895,-15.916755392366895,-15.916755392366895,-15.916755392366895,-15.916755392366895,-15.916755392366895,-15.916755392366895,-16.380130790376143,-18.476708696022655,-17.34408023920895,-15.317245564666791,-14.035962887402547,-13.132226996734403,-12.521592988162354,-12.324959580354005,-12.534702274636743,-13.06706307557107,-13.06706307557107,-13.06706307557107,
temp in shade while standing,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-12.059366103932291,-16.009964930209605,-15.591776367657758,-13.951332688734738,-12.88897844775147,-12.083449448338968,-11.507654467341979,-11.341370328140442,-11.575084674957907,-11.9541496623699,nan,nan,
temp in open while lying,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-17.602491601995723,-17.47781297414889,-15.096199444437957,-12.168327931831527,-10.383184554600803,-9.393673773313822,-9.161663299239933,-9.847112853448039,-11.437277588109112,-13.803653701691246,nan,nan,
temp in open while standing,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-12.815054614268263,-15.23556134633651,-13.842651439411668,-11.441328177093169,-9.951381077691053,-9.080642226161672,-8.839784681187098,-9.414471477275299,-10.78200641893244,-12.673425438034144,nan,nan,
temp on shaded tree while lying at the height of: 3 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-16.487563417911986,-18.172338733171784,-16.780364892135992,-14.685402316632121,-13.387776506529235,-12.466241153592875,-11.830030598386486,-11.60710267177717,-11.831990863347926,-12.547858395079288,nan,nan,
temp on shaded tree while lying at the height of: 12 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-16.434799866878166,-19.52660947745335,-18.35613743935545,-16.17118184079243,-14.828835026150443,-13.834850851002159,-13.08316462295761,-12.751303849202316,-12.892366707035649,-13.599327458903872,nan,nan,
temp on shaded tree while lying at the height of: 21 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-19.638794394910178,-20.043374965395685,-19.036286776125678,-16.82519606966474,-15.519335584489795,-14.495070685806297,-13.708895219839349,-13.322369866846543,-13.38219575818465,-14.059891147795156,nan,nan,
temp on shaded tree while lying at the height of: 30 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-19.83759372886601,-20.3166915496941,-19.443354532975746,-17.284842901356512,-15.987484926507705,-14.976054613018277,-14.164707985613973,-13.716977539265486,-13.721832086570487,-14.370707218449184,nan,nan,
temp on shaded tree while lying at the height of: 48 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-20.12982286574328,-20.71193744871536,-20.04254639642531,-17.90309274052504,-16.680989198964312,-15.665925005322435,-14.802075485588603,-14.282304425073164,-14.20215482494308,-14.81763039508462,nan,nan,
temp on shaded tree while lying at the height of: 66 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-20.313118982836045,-20.963270621380815,-20.460126330009302,-18.363330720105495,-17.1759103209898,-16.17434206108868,-15.271328326914272,-14.68666252556693,-14.53117202452637,-15.125042705982082,nan,nan,
temp on shaded tree while lying at the height of: 84 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-20.44591696568685,-21.106267208451698,-20.771715910198964,-18.70437006458286,-17.559245250877268,-16.556416087885225,-15.649233487969695,-15.021500057085916,-14.794791252822279,-15.360241777379883,nan,nan,
temp on shaded tree while lying at the height of: 102 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-20.531363602435363,-21.257148133217044,-21.017519321395667,-19.000375020241847,-17.887717601091623,-16.89242883927284,-15.952656363949927,-15.283413361606904,-15.012455413354587,-15.561504513023635,nan,nan,
temp on shaded tree while lying at the height of: 120 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-20.61995483569828,-21.372575181669333,-21.244628433326795,-19.23651720520496,-18.162741002600768,-17.171722255599803,-16.216406231906944,-15.519678884349446,-15.19723953454951,-15.734622294769395,nan,nan,
temp on shaded tree while lying at the height of: 138 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-20.70293196879996,-21.486263438521178,-21.438934236165437,-19.46028305687912,-18.39403448289619,-17.425020460435945,-16.446297715373703,-15.722740564796652,-15.362230188043895,-15.879340666073801,nan,nan,
temp on shaded tree while lying at the height of: 156 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-20.789212509147774,-21.534028913106823,-21.600709515544906,-19.63010612674981,-18.601897059273654,-17.640695288220172,-16.66377650910124,-15.891849309193333,-15.500320556372174,-16.00183836447127,nan,nan,
temp on shaded tree while lying at the height of: 174 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-20.827429223734896,-21.6189307369946,-21.730069597924484,-19.81435783570518,-18.796695544591188,-17.836183930667147,-16.85323866203447,-16.061896605460618,-15.625125305522374,-16.12469494741049,nan,nan,
temp on shaded tree while lying at the height of: 198 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-20.912052662370883,-21.702945173470653,-21.91796693563836,-20.01278958473054,-19.013852425091244,-18.077977677767365,-17.065295755560044,-16.247033077030096,-15.785179974605398,-16.254446145553175,nan,nan,
temp on shaded tree while standing at the height of: 3 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-12.091174574298805,-15.697392057529498,-15.039519304194869,-13.366367222759152,-12.30620299366285,-11.48606818454084,-10.866275991966177,-10.637604849608238,-10.837267617629891,-11.34135559239769,nan,nan,
temp on shaded tree while standing at the height of: 12 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-12.071479236531218,-17.70122539247467,-17.253256162695777,-15.40901290324382,-14.249366963067303,-13.307876566600896,-12.524991919608055,-12.16382516277696,-12.286081767517544,-12.790208211020513,nan,nan,
temp on shaded tree while standing at the height of: 21 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-16.77077860812392,-18.472840257805757,-18.185051328710216,-16.273532532826437,-15.140898425045975,-14.147519869704922,-13.317145778951044,-12.894803976084177,-12.9302130042243,-13.399381446087546,nan,nan,
temp on shaded tree while standing at the height of: 30 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-17.075009554490236,-18.88592390919834,-18.73395887716478,-16.872758334814876,-15.736824287037166,-14.7517991436942,-13.88749994218864,-13.391766531390317,-13.370766167331226,-13.8029985104057,nan,nan,
temp on shaded tree while standing at the height of: 48 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-17.51853645237162,-19.482652560080567,-19.536559217792842,-17.671483738671384,-16.613867832610936,-15.610585745980586,-14.67519144906089,-14.09828396029343,-13.987646906939688,-14.381529175872402,nan,nan,
temp on shaded tree while standing at the height of: 66 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-17.800112281742884,-19.86360115099629,-20.092669891325443,-18.26343468162392,-17.235418360986245,-16.24414802254097,-15.254402542389528,-14.598756971469413,-14.407312482180828,-14.774805864295217,nan,nan,
temp on shaded tree while standing at the height of: 84 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-18.005150921846337,-20.086211205941538,-20.504705116084523,-18.697286132412955,-17.71259426532083,-16.714366845277823,-15.721383733453536,-15.016229168362543,-14.742022752562264,-15.073191026159577,nan,nan,
temp on shaded tree while standing at the height of: 102 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-18.138242950470215,-20.314899166786574,-20.826003171434195,-19.07606984741909,-18.12563971933929,-17.130602774749548,-16.092812019077712,-15.340410758037649,-15.017542539995986,-15.32997646249953,nan,nan,
temp on shaded tree while standing at the height of: 120 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-18.27319467945233,-20.49176538149527,-21.128102827656704,-19.375423906949464,-18.468590395744087,-17.474604227699473,-16.416903093083818,-15.632420505682944,-15.252984297963735,-15.550964715360635,nan,nan,
temp on shaded tree while standing at the height of: 138 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-18.40267717091362,-20.66609450395518,-21.384972174010784,-19.662064332424734,-18.758344997489075,-17.791302963298705,-16.69950164399853,-15.883883305435006,-15.462163553753214,-15.735772229844656,nan,nan,
temp on shaded tree while standing at the height of: 156 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-18.534247166552177,-20.744074782669884,-21.597001703359126,-19.875250571343656,-19.016525745809446,-18.05566756621471,-16.969286880286063,-16.093711633221915,-15.637346636423786,-15.890779088909426,nan,nan,
temp on shaded tree while standing at the height of: 174 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-18.595578745517457,-20.873606647327478,-21.764373582214915,-20.11220789164554,-19.260967205548496,-18.29855143584146,-17.203455110785285,-16.30490790588715,-15.793105999794363,-16.046304575311353,nan,nan,
temp on shaded tree while standing at the height of: 198 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-18.72473107480974,-21.00184148917566,-22.01457433393486,-20.364501175760324,-19.530030505301255,-18.59839320155396,-17.4626185372623,-16.53281575179409,-15.9977166175928,-16.20922728564466,nan,nan,
temp on open tree while lying at the height of: 3 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-17.223454953803298,-13.703463336667653,-9.354348078344572,-5.84416082277869,-4.04723067703037,-3.096536954417843,-2.8416654484107084,-3.8428150797083163,-6.378869118983687,-11.836526011982983,nan,nan,
temp on open tree while lying at the height of: 12 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-16.9937318546871,-15.149701866140106,-11.264224257414469,-7.803106629607271,-6.062692196580144,-5.0762505962378555,-4.666688094776305,-5.438453784855483,-7.703447243038056,-12.943322528282408,nan,nan,
temp on open tree while lying at the height of: 21 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-20.204372865468457,-15.727905922633738,-12.064854224369924,-8.626890896940893,-6.947908392801878,-5.942240321947793,-5.4811362242850805,-6.150164798953881,-8.258918567125079,-13.366946416831126,nan,nan,
temp on open tree while lying at the height of: 30 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-20.356529197266468,-16.051691992086717,-12.547906305002016,-9.176415722186277,-7.517212068857418,-6.520318919619399,-6.022281066177413,-6.6081546354831175,-8.619017117567523,-13.625212929864858,nan,nan,
temp on open tree while lying at the height of: 48 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-20.58078886944682,-16.523230774564126,-13.225525922021859,-9.895138548176078,-8.316509508505135,-7.305846906696729,-6.743391501914402,-7.234115220191654,-9.102611655926012,-13.978759616400737,nan,nan,
temp on open tree while lying at the height of: 66 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-20.7163700065924,-16.82714656832036,-13.69277203599961,-10.40741300936105,-8.860198508370047,-7.864248801099507,-7.249814088319226,-7.657280739287728,-9.427129543211436,-14.210757131164087,nan,nan,
temp on open tree while lying at the height of: 84 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-20.816528100615784,-17.021285391557512,-14.032607158337157,-10.784540083168793,-9.268284211521973,-8.271870005029257,-7.646637273908709,-7.998478298087662,-9.678868103743355,-14.377384258995505,nan,nan,
temp on open tree while lying at the height of: 102 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-20.872411631371165,-17.208249611826886,-14.301759408480052,-11.104981324256016,-9.622577631297531,-8.620580696786249,-7.956095457181959,-8.266963039159236,-9.877270593823937,-14.519870441470516,nan,nan,
temp on open tree while lying at the height of: 120 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-20.930923195791905,-17.35547267683009,-14.546581743336617,-11.359883796124222,-9.903554087671012,-8.906066690736566,-8.226140175510068,-8.496266622723738,-10.049030222311046,-14.638558314793954,nan,nan,
temp on open tree while lying at the height of: 138 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-20.996685834213537,-17.50162739078965,-14.75913863971141,-11.596157050300292,-10.155042199348486,-9.165817836201938,-8.455564974240872,-8.692244332627638,-10.200649623121137,-14.740128902860931,nan,nan,
temp on open tree while lying at the height of: 156 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-21.065458658118985,-17.57712818310131,-14.93319456369278,-11.778908812351915,-10.3694443482118,-9.380986451410763,-8.672619190125886,-8.86116547720593,-10.331997593113954,-14.818522017184534,nan,nan,
temp on open tree while lying at the height of: 174 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-21.085811339252757,-17.68996121253673,-15.068689557857681,-11.97624606304845,-10.570922561756902,-9.583204816718307,-8.861705889925702,-9.024028110347672,-10.436006795346657,-14.903116209372001,nan,nan,
temp on open tree while lying at the height of: 198 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-21.147897988871847,-17.796602821737196,-15.275610308693729,-12.187938926495917,-10.787661882230054,-9.82452486126698,-9.073317352162064,-9.201824383164421,-10.581992754211342,-14.980996018788971,nan,nan,
