daylight?,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
temp in shade while lying,28.173964918965737,27.252848716087215,26.882218326133284,26.62065309726063,26.60126280803513,26.468107946610132,26.365283183185625,26.20413820077806,25.9190701526191,25.512496105513833,25.89825786493043,29.956684565851845,31.776356743625115,34.3973517318812,37.7977520056175,40.59179350311052,42.38382254941587,40.50332229420923,40.99464724589819,41.486500114855744,41.8150686661445,41.29122403786482,39.3493061780066,36.430353025996965,
temp in shade while standing,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,26.531862838862594,30.88118911868372,32.61705257418339,35.194982505086784,38.652671565143294,41.47670207927399,43.2550370051905,40.98722734540672,41.44260705991786,41.95109046466183,42.359766115108926,41.96048169240436,40.08315966233994,37.11305838824546,
temp in open while lying,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,25.556486470430286,30.386318106362467,33.63342823000215,37.7144343588584,42.50391173155123,46.50680234384174,49.26409638693934,47.97194759869825,48.49954943644144,48.39234456406933,47.528645575624466,45.46136373658737,41.93675337147465,37.53673865321673,
temp in open while standing,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,26.20393897220663,31.25904804069438,34.29559159287527,38.21123257048788,42.932934843267276,46.79197030401855,49.30948272630633,47.43098260453229,47.806529844132115,47.80681272757403,47.28664137797472,45.64183147181774,42.40167573238074,38.08174463732689,
temp on shaded tree while lying at the height of: 3 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,25.74601554401869,30.2981652942467,32.27187318155757,34.87067867975952,38.20371813412527,40.92485246822753,42.66397441860465,40.760156816294,41.26094173974195,41.804708526936906,42.21238486130835,41.76948946543183,39.87397587552954,36.84533373574294,
temp on shaded tree while lying at the height of: 12 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,25.70856642664438,29.654197214015255,31.92876540554829,34.796466899677114,38.13479093280171,40.85292336338068,42.58201844338356,41.26604336136279,41.64220890697993,42.20178025983972,42.686426545767176,42.26022931958005,40.17070114419698,36.82781464851615,
temp on shaded tree while lying at the height of: 21 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,25.725715199198362,29.40150499222733,31.77877741101571,34.70289767782026,37.99111876251925,40.67941120088284,42.37771496093109,41.261623618599856,41.58397388250114,42.16078559221512,42.68790999632051,42.289983369287825,40.165116822757966,36.775353475688064,
temp on shaded tree while lying at the height of: 30 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,25.749218346831697,29.248268927498373,31.68124811449519,34.61479983396572,37.861456267406766,40.51839995067763,42.18496979366597,41.177496276934335,41.46246817987651,42.044692468042626,42.61816291979994,42.23859436920799,40.11270368696813,36.72170618671561,
temp on shaded tree while lying at the height of: 48 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,25.79742391784879,29.053183983741064,31.54163387686424,34.4725842569278,37.637380504653265,40.23587690414064,41.8506655472022,40.976890852504994,41.20767491608507,41.80920122043807,42.4335114031976,42.10447365747973,39.99455529519918,36.620298337190775,
temp on shaded tree while lying at the height of: 66 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,25.838699634669126,28.928217488861037,31.44871850516887,34.35893406589037,37.45266102602926,39.99708088935478,41.57591493545408,40.77700522996696,40.97283110211964,41.587562644090724,42.252751683242025,41.958753530366835,39.86980202148311,36.54263194508911,
