daylight?,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,
temp in shade while lying,37.442315851297224,35.35262781135043,31.686813224846503,21.5581255642374,19.15336069169814,17.98530674592672,16.777598704493016,15.988999133075595,14.866447470103822,14.388466557476704,14.90558110280233,14.812574831904442,14.718175876824773,23.022194629369494,28.364344415112896,27.872365867357246,33.26594278223337,35.563662873957355,37.82933204882045,39.343561126362715,40.052426812163105,40.141243555822086,39.742093755556766,38.85051261828784,
temp in shade while standing,38.137666550670474,36.05192875111089,32.93898153149934,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,24.398059116279228,29.7110063467008,29.918659229800596,34.104944642066584,36.29402065293442,38.61587641330556,40.19586269114029,40.90164689732569,40.94202673309337,40.49228252075778,39.561446878633205,
temp in open while lying,40.874339436141895,36.6021583543947,31.09834379442117,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,23.727201014491584,31.32944544996684,36.48763868941086,40.37089089256733,43.68176635065282,46.472541641135194,48.15172717855137,48.696098163990996,48.16785398695504,46.661864912600436,44.20735160086093,
temp in open while standing,41.06067997801961,37.00594177249798,32.10231251384033,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,24.971445094044498,32.12630497311375,36.35383290015585,40.18456321395786,43.4621299170106,46.45450717904214,48.29924127527835,48.84333419822093,48.23935166003912,46.70111376955106,44.2847097091709,
temp on shaded tree while lying at the height of: 3 cm,37.800734541370105,35.713736284072525,31.674278292819736,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,23.307999398902723,28.812203099440353,28.358434153397184,33.535384125647056,35.724067988818035,37.919014204376936,39.40087084721932,40.1115117263152,40.241253637198895,39.91991096683694,39.126105900508946,
temp on shaded tree while lying at the height of: 12 cm,37.667364728591565,35.64915867593777,30.998706341621755,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,22.661158110769975,27.945109841373494,27.708522046787323,32.99617621323682,35.3937133900323,37.690199649759165,39.182580859910956,39.88548228682009,40.02103693975579,39.7102042617052,38.945351252571015,
temp on shaded tree while lying at the height of: 21 cm,37.50838359131518,35.60381252590929,30.898916719371073,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,22.519161430579572,27.657175813625656,27.575335313212292,32.64405973893912,35.03510743359038,37.3135158336616,38.761671755791156,39.46450087028859,39.614664305297424,39.357257753837075,38.675087542712106,
temp on shaded tree while lying at the height of: 30 cm,37.37228513565242,35.56181961697234,30.84557773240465,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,22.475746338685042,27.476895037477334,27.53098038819752,32.38454083055814,34.73874887240771,36.97133285801539,38.39857525508478,39.09012651323013,39.266653646547525,39.0489347061976,38.447207250200904,
temp on shaded tree while lying at the height of: 48 cm,37.15941381984322,35.50790801948972,30.774184618294385,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,22.462722835135082,27.273035567117745,27.51527808105044,32.00003102409539,34.26977580642176,36.42974953849546,37.81000228941639,38.488735167623815,38.692625963698106,38.56200359949622,38.074563606504455,
temp on shaded tree while lying at the height of: 66 cm,36.99171829071179,35.45969980190131,30.732208225628256,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,22.48512848193542,27.151657652638846,27.539729997317465,31.705981200788926,33.908327248022374,36.00419227640589,37.343054115886446,38.008058226367496,38.23886095573346,38.171410251647785,37.77968280020934,
temp on shaded tree while lying at the height of: 84 cm,36.86036033805806,35.425632616091434,30.697177995255117,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,22.517115834635945,27.059448842248628,27.55757640553128,31.47607781849439,33.606531278634975,35.65570689089026,36.95484543551237,37.61238459569819,37.8692916302528,37.85118106045985,37.54466446915086,
temp on shaded tree while lying at the height of: 102 cm,36.73978759786604,35.3986202056347,30.667999575493525,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,22.551953482175065,26.98733799660272,27.589104448806495,31.287172752945366,33.35782959596395,35.35070048124311,36.618835130967796,37.27759069643878,37.55137752053997,37.583179807957436,37.3319596215556,
temp on shaded tree while lying at the height of: 120 cm,36.64018891351674,35.37211459128713,30.649044058897346,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,22.580401847565383,26.936049396235262,27.619457800597843,31.121943229266606,33.13568850213653,35.08755035695128,36.334828531961705,36.985502087667896,37.26695120829032,37.3407909030372,37.15416832136788,
temp on shaded tree while lying at the height of: 138 cm,36.5547793149816,35.352920891652616,30.63515644954606,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,22.612853880715818,26.886373078125587,27.64684101998995,30.97464068054728,32.935334017757384,34.85316314345033,36.071214397895574,36.7134428714586,37.01983107983506,37.12693508066167,36.997312602751094,
temp on shaded tree while lying at the height of: 156 cm,36.46794669467931,35.326405794816765,30.62156078570746,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,22.641097221012558,26.85323532137511,27.66559946514792,30.838866168163577,32.75772321943555,34.64985608838521,35.84009565318922,36.48219343167875,36.79486966878113,36.935294272172825,36.855358095793804,
temp on shaded tree while lying at the height of: 174 cm,36.39684773347108,35.31557641782308,30.603173481753117,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,22.670984457618317,26.814324124087932,27.700187852589295,30.72386941321514,32.602999180684265,34.45208246561896,35.62376898183794,36.25762561105074,36.58492976017902,36.75881435739933,36.719889449691664,
temp on shaded tree while lying at the height of: 198 cm,36.306761760715005,35.287974606395665,30.59006265417065,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,22.710930242394227,26.78329643479185,27.728767954955117,30.58130007095758,32.40771312265093,34.222464951920244,35.37213343959246,35.99695526869641,36.34158852962486,36.55054461846959,36.56228718517946,
temp on shaded tree while standing at the height of: 3 cm,38.55745763423107,36.51370227824577,33.06553164015821,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,24.691561977806657,30.12027929313723,30.096217757140153,34.28619533147503,36.36490039451519,38.61264772970878,40.16193872900624,40.88363517494838,40.991023708697526,40.65349054665319,39.858303200849775,
temp on shaded tree while standing at the height of: 12 cm,38.482786546669445,36.447954702223456,32.06414585433578,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,23.573227145095018,28.80468542520208,28.952429154480228,33.672427370711205,36.14040736540892,38.57368690964836,40.152105999381206,40.87027753564081,40.97498718940818,40.61615616562233,39.80092470660401,
temp on shaded tree while standing at the height of: 21 cm,38.32047805750267,36.397106297606285,31.913798070806422,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,23.267625163691264,28.356257290048518,28.644825097055048,33.26075592364532,35.76678951578697,38.194340126602185,39.72038747053779,40.44011688260014,40.561613193866606,40.259187085789165,39.5280731654762,
temp on shaded tree while standing at the height of: 30 cm,38.17195947324791,36.348952276372415,31.831339761918287,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,23.131786227108194,28.07438740382497,28.49941089658921,32.95315099254964,35.440046036928265,37.819545662779774,39.318797191387034,40.026051684095194,40.17938836017419,39.921920101863066,39.28018711176327,
temp on shaded tree while standing at the height of: 48 cm,37.93099245100774,36.28558710596195,31.722503041238667,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,23.014697366748237,27.748850929835385,28.363735427375786,32.49209565921058,34.90556676640608,37.2019958629989,38.640515280514535,39.33292295962411,39.521647526101276,39.36746654150147,38.858016766098046,
temp on shaded tree while standing at the height of: 66 cm,37.73635392408096,36.22835909362203,31.656660074678882,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,22.97510547442488,27.550771783323228,28.319047428995418,32.13640929989032,34.48400294857919,36.703567610733614,38.08762161246665,38.7640165766195,38.987523666915536,38.910337738307135,38.5146111020743,
temp on shaded tree while standing at the height of: 84 cm,37.581689768724004,36.18739187057622,31.603211497910365,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,22.968196009160806,27.402221696530773,28.28313046022612,31.856554716772905,34.127481928283544,36.28923430118385,37.621403454409915,38.28880945781526,38.545946277887936,38.52989364310247,38.23687957966109,
temp on shaded tree while standing at the height of: 102 cm,37.43841237058683,36.154527820370674,31.558315588580854,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,22.97276301713083,27.28304632682716,28.27872151430205,31.62540881469107,33.830808326826684,35.923063205655694,37.21395979709513,37.88292945454748,38.16243205616706,38.20833890085788,37.983023740872,
