daylight?,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,
temp in shade while lying,4.4280336288678654,4.4280336288678654,4.4280336288678654,4.4280336288678654,4.4280336288678654,4.4280336288678654,4.4280336288678654,4.4280336288678654,4.4280336288678654,4.4280336288678654,4.4280336288678654,4.4280336288678654,4.4280336288678654,4.4280336288678654,4.4280336288678654,-1.3657518767121246,0.8897490405601047,3.162247366448753,5.1491827419310425,6.475147146195013,7.9731041385308,9.690583119511984,10.173521260005032,9.569814082576897,
temp in shade while standing,4.786328648149322,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.9149358879082001,1.3629880758410309,3.7443406855317676,5.834968494203849,7.2027264854496025,8.709566519773375,10.386718468791969,10.773199624403333,10.044600856223383,
temp in open while lying,4.343416897232601,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.7910425597056019,1.785539610690762,5.310495048039513,8.212741511110607,9.796364136345915,12.88923215372256,13.721730768766236,13.12082964333797,11.211690323181244,
temp in open while standing,4.657735854461407,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.3423644511394741,2.2101761635365733,5.828316224411083,8.819609381134796,10.446577051863414,13.470110058788805,14.242502596108352,13.542230858313133,11.521868552206115,
temp on shaded tree while lying at the height of: 3 cm,4.590070977735024,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.2833433717615321,1.3430078068389548,3.664622934246381,5.641979210766806,6.968362127417095,8.461180722775907,10.169179699194842,10.664568974888539,10.034870501038824,
temp on shaded tree while lying at the height of: 12 cm,4.019461835880804,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.7591214579691155,1.1852543756960472,3.858955359579795,6.20082708413571,7.738259000288963,9.37505032190984,11.116959598379026,11.527531927344853,10.711309712831905,
temp on shaded tree while lying at the height of: 21 cm,3.760378891693506,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.9284116360898338,1.1082460229171716,3.897322753728247,6.3850908251244505,8.029028144937286,9.737192477755002,11.434004074559653,11.832152390320402,10.979023095250056,
temp on shaded tree while lying at the height of: 30 cm,3.593497220528377,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.0168030903716385,1.0665067087222724,3.9179137497282,6.48317175582315,8.204965684760623,9.960741326338564,11.62143480102776,12.007879738786414,11.140955829909785,
temp on shaded tree while lying at the height of: 48 cm,3.3569839640629766,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.134480440808545,0.9953099890137196,3.9197691882996537,6.605650376932033,8.42119385554389,10.243939117501384,11.848998922988244,12.21485699366582,11.35758142028908,
temp on shaded tree while lying at the height of: 66 cm,3.189209268789341,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.206828843983601,0.9462631433234492,3.9231314756983693,6.6686109344668125,8.566543002692413,10.432724088493046,11.987263129104463,12.35532040462192,11.504658801136543,
temp on shaded tree while lying at the height of: 84 cm,3.065903862153334,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.25094255118438,0.9139222788392658,3.9121368850380804,6.721570777363581,8.66930015781628,10.577721952725256,12.078325777624173,12.44736237393397,11.612574149694126,
temp on shaded tree while lying at the height of: 102 cm,2.969076451797605,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.2892128420973563,0.8861797069927775,3.903060832508231,6.7553842565365585,8.758127365054463,10.693609161906068,12.151117546192893,12.518192310701295,11.697725708585494,
temp on shaded tree while lying at the height of: 120 cm,2.881272407296194,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.3272797113941692,0.8603857133027759,3.9005887960554446,6.7765632142683785,8.822326554347796,10.779598347418471,12.211490517743812,12.573231474782347,11.763740658193854,
temp on shaded tree while lying at the height of: 138 cm,2.8008243492388942,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.3467010129514847,0.8370458707786952,3.8825896373516002,6.800736872938387,8.88456298499159,10.866810191236993,12.256815051388514,12.623694218159471,11.826510181425647,
temp on shaded tree while lying at the height of: 156 cm,2.7380912583549275,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.3709447338597442,0.8261432790493473,3.885041891754838,6.817215694152139,8.927657918520936,10.93068015471755,12.301881500598654,12.663352625796392,11.883042711332791,
temp on shaded tree while lying at the height of: 174 cm,2.678250069023022,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.3926414876657986,0.8052620429447188,3.87420036462521,6.83967561792258,8.976817313702952,10.98821883639954,12.339538893861743,12.698820711525059,11.926824370528095,
temp on shaded tree while lying at the height of: 198 cm,2.599813193397324,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.4076478389919203,0.7821220514512106,3.864341557834962,6.856117522384011,9.020810113123105,11.065219332378206,12.377409733437332,12.739529678416886,11.985732570261177,
temp on shaded tree while standing at the height of: 3 cm,5.096440807862848,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.7233176281349643,1.84739954861368,4.224620857369359,6.261063565112636,7.594225809938791,9.090407455043646,10.810916457328346,11.25558066210749,10.549897027565521,
temp on shaded tree while standing at the height of: 12 cm,4.297051237549056,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.4388094122229518,1.6268027140671393,4.535835056475889,7.1048204208987045,8.726778729599573,10.421211766949455,12.23232395238648,12.545719462831755,11.528892691816282,
temp on shaded tree while standing at the height of: 21 cm,3.938153209597658,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.6962949461281482,1.5217245269802788,4.609215200465144,7.388859846820878,9.154191562725316,10.945645283730414,12.717415040599008,13.005386194638561,11.915347318994122,
temp on shaded tree while standing at the height of: 30 cm,3.7066062541241536,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.8355349947055402,1.4632060884846965,4.649197380340752,7.544485203690726,9.413773609636166,11.2699407359666,13.005829312796322,13.274255519572137,12.14960888125404,
temp on shaded tree while standing at the height of: 48 cm,3.380688287431269,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.017585757739937,1.366622069743471,4.669215476758438,7.738216171536692,9.734684591470966,11.681423898982246,13.357743851546843,13.59362193278514,12.461396860738716,
temp on shaded tree while standing at the height of: 66 cm,3.1503006734520795,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.130866829391607,1.2999258303067904,4.684018138691272,7.842512890907869,9.9495521071305,11.954910648891541,13.574309579878047,13.808553661458234,12.671529087042188,
temp on shaded tree while standing at the height of: 84 cm,2.9799722054434596,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.2028901966046988,1.2551437088545754,4.6778465167800505,7.927273955508099,10.102178290435631,12.164409345018896,13.719471630742078,13.952707478776688,12.826842266416861,
temp on shaded tree while standing at the height of: 102 cm,2.8458707794567886,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.263819458131195,1.2170907297574445,4.672000519908693,7.9840605560631275,10.232002670245265,12.33135325413275,13.835521439983324,14.063460028738803,12.948885312552193,
temp on shaded tree while standing at the height of: 120 cm,2.724949008862666,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.3219663552666248,1.1818856928867945,4.673327969338402,8.022381503809811,10.328274924321022,12.457029756035467,13.93100334697101,14.151133946287302,13.045368700441372,
temp on shaded tree while standing at the height of: 138 cm,2.614787002169294,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.3551327558066646,1.150267512639573,4.654440816913393,8.062632227582071,10.419235861415757,12.582063536737621,14.004491572056168,14.229703033987164,13.134691108165725,
temp on shaded tree while standing at the height of: 156 cm,2.5280442282531794,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.393076532107841,1.1343329554967454,4.660503704344308,8.09161973826184,10.484654973218994,12.675411944901441,14.075184991832202,14.292481253320545,13.214914837825177,
temp on shaded tree while standing at the height of: 174 cm,2.445528161013897,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.4273063667788506,1.1062996025478924,4.649599066882502,8.126910097971859,10.556511801623913,12.759506941205927,14.135058329137337,14.349143689100572,13.278903416649086,
temp on shaded tree while standing at the height of: 198 cm,2.338297477141623,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.45425991823015,1.0749735528033284,4.640147831978879,8.15584377727231,10.62325168138824,12.869624930947452,14.197653134327084,14.413457509045713,13.362590846686658,
temp on open tree while lying at the height of: 3 cm,8.766765245569673,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.8030658363853718,8.467178269474914,12.378101986398406,14.962678743733136,16.264149156883832,19.236080649899122,20.43857577450831,20.30269937888363,18.289709641507443,
temp on open tree while lying at the height of: 12 cm,8.118334292640725,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.3311181258836768,8.239685487491556,12.444665059266015,15.37366601587712,16.90715590447519,19.910975787964333,21.140091605038094,20.97427947039239,18.83591875642253,
temp on open tree while lying at the height of: 21 cm,7.803711025329335,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.1505352750971838,8.102124628976298,12.37311468169662,15.395346288250323,17.034287254921196,19.96342855960262,21.205167908299416,21.064740764525254,18.961790871233177,
temp on open tree while lying at the height of: 30 cm,7.586655414139443,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0438170109230214,8.009056035560263,12.28974105470104,15.366357897553883,17.08798263717449,19.939721525616903,21.192653260767543,21.085498550003763,19.006515303330445,
temp on open tree while lying at the height of: 48 cm,7.286035230325012,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9066508146850083,7.864324951431115,12.160868775154938,15.293137257052877,17.105660151185248,19.824777043725817,21.094335560865034,21.045833222602596,19.041994170966177,
temp on open tree while lying at the height of: 66 cm,7.073548699558273,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.8196506708865741,7.756709738601671,12.048069786903966,15.21534806375871,17.094720346845747,19.70680134003402,20.991422378791867,20.9861167711706,19.04143856094356,
temp on open tree while lying at the height of: 84 cm,6.9001334393599905,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.759020361645355,7.669246383438747,11.951313664685586,15.13281774910007,17.07617307953359,19.593875325159388,20.884591181629503,20.923891676965297,19.030903371534748,
temp on open tree while lying at the height of: 102 cm,6.76100543807172,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.7030959950249667,7.603417382203702,11.871880863218735,15.065783281671372,17.05599375197312,19.485369271295042,20.79720614094134,20.868401324600597,19.016027490544218,
temp on open tree while lying at the height of: 120 cm,6.652019335325576,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.656186981517294,7.537565040090271,11.795254271854503,15.003156206097174,17.027625589843126,19.389285318301177,20.709489866650358,20.810845618447786,19.00493455232305,
temp on open tree while lying at the height of: 138 cm,6.549392199193562,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.6276899758045715,7.483328065462729,11.734510467213795,14.951497763973578,17.00450107168848,19.298217773361728,20.622158813669444,20.754116235778497,18.987127726757194,
temp on open tree while lying at the height of: 156 cm,6.463704325201206,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.5939185830771407,7.440502960072706,11.669457034476295,14.90111465632549,16.970864835958253,19.222577827211353,20.5520422311335,20.703924606809096,18.970193686609832,
