daylight?,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,
temp in shade while lying,-2.3702793887042617,-2.3702793887042617,-2.3702793887042617,-2.3702793887042617,-2.3702793887042617,-2.3702793887042617,-2.3702793887042617,-2.3702793887042617,-2.3702793887042617,-2.3702793887042617,-2.3702793887042617,-2.3702793887042617,-2.3702793887042617,-2.3702793887042617,-2.3702793887042617,-6.856860022246565,-4.74231517289337,-2.2020103349871647,0.03346130065017405,1.183283799671699,1.4285054675539754,1.4122508927816853,1.072619429895667,0.3855899756050576,
temp in shade while standing,-1.7983903971153268,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-6.292749950578127,-4.169430655691087,-1.6616276826487706,0.562543858409299,1.7014449696075076,1.9312672999528218,1.89589970801444,1.536612739575503,0.840061842320722,
temp in open while lying,-2.727928743676955,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-6.889682598328704,-3.3103506541449974,0.8024346459894787,3.5589256817866612,4.900108440939562,5.241431238033272,4.692296796132439,3.1508898621597723,1.5501294256650908,
temp in open while standing,-2.2816867052321186,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-6.402982099534142,-2.9182511130715625,1.0529284040482025,3.773696150762248,5.067057244881255,5.358720203419921,4.828362805597635,3.3861021589177085,1.8294999956245306,
temp on shaded tree while lying at the height of: 3 cm,-2.2512563826576297,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-6.815022472240116,-4.32854480852933,-1.7497683655287801,0.45375388730724353,1.586799020264948,1.8499004491995947,1.8725901093717425,1.5663767865675027,0.851288508990649,
temp on shaded tree while lying at the height of: 12 cm,-3.0276768197945216,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-7.593252637450178,-4.85742639400695,-2.087153787300565,0.2415913716297382,1.486158699977068,1.8839294193744536,2.012792214320882,1.7495969224233932,0.9532191245177728,
temp on shaded tree while lying at the height of: 21 cm,-3.4044705908193578,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-7.915065859146239,-5.080859217585214,-2.2680199439967055,0.07678910006984552,1.347271571173735,1.83404009191662,2.039308561667667,1.817818927768485,1.0052197662378148,
temp on shaded tree while lying at the height of: 30 cm,-3.6595329388673576,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-8.121688733171936,-5.227228778047902,-2.3888434843420328,-0.06428386518501839,1.2327276159388703,1.7731593900504663,2.0399961284925325,1.8562570595551051,1.032972262613896,
temp on shaded tree while lying at the height of: 48 cm,-4.019805291388025,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-8.378456469644618,-5.407863525682444,-2.567471249130165,-0.26410507882542333,1.0530456389921028,1.6806359374481303,2.026149221239507,1.8990101033336373,1.0817393272787967,
temp on shaded tree while lying at the height of: 66 cm,-4.282302859574202,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-8.562136430571059,-5.54082575074699,-2.691176907914553,-0.4193638980717651,0.910562019923475,1.6034409395861076,2.009793598297108,1.9285150812729626,1.115040312383428,
temp on shaded tree while lying at the height of: 84 cm,-4.478406348222734,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-8.696134743422931,-5.641412937582345,-2.7865835878879466,-0.5507352853895782,0.7929133053278861,1.5306219571824045,1.9973014254664463,1.9548474956474138,1.1367963083509949,
temp on shaded tree while lying at the height of: 102 cm,-4.642569852497218,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-8.803445166441747,-5.718768968533823,-2.8670592078773893,-0.6560326044435101,0.6878177674709036,1.4756801712665037,1.9853030196246664,1.969231288204469,1.1557360992512145,
temp on shaded tree while lying at the height of: 120 cm,-4.778609733440135,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-8.892918795444132,-5.7843894675420415,-2.9409306967642124,-0.752224820255492,0.5973803689270198,1.4252315759415524,1.96887105979971,1.9864555717603594,1.1730933350715986,
temp on shaded tree while lying at the height of: 138 cm,-4.898404219673239,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-8.964900363941126,-5.835538439695711,-3.003542270766843,-0.8298450799677539,0.5226961635619318,1.3806567685405184,1.9576541535812453,1.9941728517158026,1.1894216353589968,
temp on shaded tree while lying at the height of: 156 cm,-5.006316808014503,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9.036773889941003,-5.889601036934948,-3.0544373120690693,-0.9072495411474506,0.45623336536039005,1.3336935062521889,1.9438228255361878,2.0064296293619464,1.1963095943297049,
temp on shaded tree while lying at the height of: 174 cm,-5.102137975919675,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9.095548180779588,-5.932028004093922,-3.1026023320476384,-0.9756636472609443,0.3885089514789115,1.302945566642677,1.9369188074426233,2.0102832285855357,1.2110206017327414,
temp on shaded tree while lying at the height of: 198 cm,-5.219509025880313,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9.162299383897277,-5.979924328655727,-3.165302938433058,-1.0564559999380663,0.3100110516002701,1.2542251659493218,1.9227828481476195,2.0233207230395465,1.2270278268887296,
temp on shaded tree while standing at the height of: 3 cm,-1.5140250357753189,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-6.1357202710547085,-3.733958065537138,-1.2338173318544818,0.9413733607814834,2.0471343296239297,2.2798665484236835,2.2892439932604702,1.9965520068194564,1.3360236009705204,
temp on shaded tree while standing at the height of: 12 cm,-2.542805998346523,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-7.252704831502058,-4.486694495696554,-1.6792244222703516,0.7284742905468988,2.0067333841275854,2.408845824235698,2.5362059794528022,2.2692910680286786,1.4750760486421086,
temp on shaded tree while standing at the height of: 21 cm,-3.032914958242827,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-7.710280785827024,-4.800583915020866,-1.9134374423929899,0.542465002629001,1.868304931476814,2.3805207634862313,2.597233451843522,2.371465281241285,1.5436306276355367,
temp on shaded tree while standing at the height of: 30 cm,-3.3627824700042765,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-8.002044213710803,-5.004385618767799,-2.069934692585832,0.37868389977825245,1.7456041531946767,2.3262336541714603,2.615558054002747,2.4301262977259057,1.5817155819668756,
temp on shaded tree while standing at the height of: 48 cm,-3.8287254006122,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-8.367104598075969,-5.25825830371474,-2.3008714314353256,0.1415274698276221,1.5451166827425595,2.235634460706933,2.620069288139973,2.497558933432515,1.6455529443642831,
temp on shaded tree while standing at the height of: 66 cm,-4.166920142245374,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-8.625335457449125,-5.442446854908269,-2.4615692507367157,-0.045444522205684734,1.381622291592521,2.1550464558787894,2.6134955555443184,2.5431638629445388,1.6892539447346167,
temp on shaded tree while standing at the height of: 84 cm,-4.42071095775151,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-8.813514902025702,-5.581861643870013,-2.585936161569805,-0.20498996022644178,1.2444906467262058,2.075908042656067,2.6076137456752235,2.5816496993379587,1.7185663648256764,
