daylight?,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,
temp in shade while lying,37.32145670940707,35.558763207517984,31.58496053593649,31.58496053593649,31.58496053593649,31.58496053593649,31.58496053593649,31.58496053593649,31.58496053593649,31.58496053593649,31.58496053593649,31.58496053593649,31.58496053593649,25.90489323783339,30.07697792129767,33.71146233880455,34.48619552446422,29.152850852811127,30.841048717940566,37.38569093586864,39.818141340059356,39.91172123013581,38.586631305683795,37.14549408048066,
temp in shade while standing,37.871107923218744,36.3980344196126,32.134887147939594,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,26.53559412072417,30.747356968410145,34.30376663482173,34.537598001687854,29.785403072210897,31.36159756090234,37.35995767526242,39.96389487040585,39.96097272176786,38.43656593298505,37.015389586281344,
temp in open while lying,41.07797537175907,37.18577247993596,31.559751058627,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,25.49650005391402,31.375211209619238,37.009083959076406,40.876379161930174,41.2956468084688,44.97029073797779,47.95285157054434,49.540932883768505,48.86547583656625,46.187376462535326,41.93410287926247,
temp in open while standing,41.27959015574288,37.921198995168595,32.06022776616851,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,26.149087199702194,31.958279189074005,37.32767778726577,39.95580703642946,38.818144764895635,42.60132666336352,46.42961081352445,48.59128165983901,47.851068791436035,44.93752238589485,41.03224709928793,
temp on shaded tree while lying at the height of: 3 cm,37.695915170544936,35.960083897934396,31.740897407518844,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,26.08036354768882,30.498380992980117,34.1029267251443,34.76203912814873,29.34447248153174,31.018057073225464,37.40269524433512,39.87090716154182,40.083028107275595,38.892637020512325,37.70467353082228,
temp on shaded tree while lying at the height of: 12 cm,39.449772995067406,37.63259222838644,32.523391703645984,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,26.120470221226185,31.45451091957267,35.65835184340068,35.96284221443227,29.187493293556656,31.393480220699416,38.51315126740661,41.427878870151574,41.60125607821993,40.18104580748263,39.08144374438808,
temp on shaded tree while lying at the height of: 21 cm,40.01022807412926,38.22610320131258,32.844557848054535,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,26.19277908733403,31.84008504615656,36.20436342053188,36.34104750458175,29.040412609860994,31.52315593184551,38.68436028011604,41.7129568173296,41.84719820157403,40.430973793205624,39.50008723269775,
temp on shaded tree while lying at the height of: 30 cm,40.32855110944985,38.577332538994256,33.04313077557106,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,26.255941393429055,32.0871121765266,36.53818390374687,36.55162304571553,28.922850634468546,31.603304011775776,38.68848577986739,41.76226314814147,41.90457018442237,40.4885630147013,39.71739675940705,
temp on shaded tree while lying at the height of: 48 cm,40.69148469417922,39.00592058831592,33.30176069744596,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,26.35714963758943,32.40212713143393,36.93888982787149,36.77057778954048,28.73919002582454,31.69132392904845,38.62379989503637,41.70804179384476,41.84811844752255,40.47297094485117,39.944181209169074,
temp on shaded tree while lying at the height of: 66 cm,40.89686539276431,39.273251848127984,33.47909405419489,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,26.437345879891666,32.62132175909733,37.198302172812134,36.909256242523725,28.60056849125465,31.744330934064692,38.51326318269548,41.594879129785,41.723133654657715,40.40437900784724,40.06795018610967,
