daylight?,True,True,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,
temp in shade while lying,24.320471433953117,23.20008560164655,16.92507796462769,15.218898863910113,14.332554238436728,13.732607960726227,13.395134028214898,13.229849076274718,13.152880651039766,13.067000087682061,12.958973931329751,12.791795495179827,15.840249650409817,19.854382494351057,24.75008166995468,26.01189331966998,26.326943369353614,26.446852420051187,26.60989694855789,26.924732869807713,27.04491384753186,27.099930611168986,27.519673482109624,27.498625225195212,
temp in shade while standing,24.90771890758981,23.851992389187046,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,16.65703184256256,21.14495969704859,26.698023050425434,28.29218835273923,28.723594449776726,28.849391182313923,28.974705438195883,29.07376629538635,29.137380598786933,29.103213597055174,29.354018316322936,28.823598307674672,
temp in open while lying,26.873156343000517,23.897729547190067,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,15.643081133257795,20.505232448905474,26.922078245667706,30.259719803705593,32.61554702408978,34.40307404403063,35.70465436439207,36.389073469391974,35.798969799552026,34.74082343274131,33.927382123249515,31.499691264162493,
temp in open while standing,27.271093268518598,24.428376336047847,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,16.454675770733388,21.696374128564457,28.517837812351047,31.6569645810809,33.57584179172744,34.97815817014782,35.99972551639638,36.545475864209266,36.01371006647071,35.12861701228468,34.39909352225101,32.1393714139237,
temp on shaded tree while lying at the height of: 3 cm,24.850569839794673,23.547008036334034,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,15.820746193846048,20.378362001887353,25.37815427394446,26.6305882698353,26.90865980933478,26.99903578573577,27.14264629288806,27.47273439022115,27.61836871778189,27.74431452054364,28.19952218659239,28.255582011920183,
temp on shaded tree while lying at the height of: 12 cm,22.326150711451987,21.79252654624503,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,15.365406960145492,19.41851221576684,23.951531015087085,25.449197837143686,25.745732107940512,25.79277700894295,25.939521951822712,26.318783371335485,26.45468668682645,26.656179980821094,27.261456219950503,27.165674237313738,
temp on shaded tree while lying at the height of: 21 cm,21.280000228268477,21.069912391173375,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,15.213003214844946,19.08113826671257,23.4247097178432,25.02822563105815,25.301107853776443,25.33635506332149,25.466389335238205,25.901403310532714,25.994686750430617,26.25469644164224,26.942087186008962,26.781966921461844,
temp on shaded tree while lying at the height of: 30 cm,20.59482311983828,20.60854046669175,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,15.125475593329327,18.870875757649173,23.110926035153568,24.759101271208635,25.022519351178403,25.037535865189113,25.178577370244284,25.64549270801956,25.713877464866357,26.005767689742356,26.7584619452972,26.548676732550803,
temp on shaded tree while lying at the height of: 48 cm,19.700601704955773,19.993366527176477,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,15.024405104864911,18.625993058319523,22.710673776432316,24.442467923009872,24.67739249951495,24.676683051631016,24.80190414350892,25.33980853239268,25.343969901758896,25.70325794581413,26.5419966452493,26.256070808949573,
temp on shaded tree while lying at the height of: 66 cm,19.086637933868985,19.57299706874096,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,14.959333641482942,18.48213608308339,22.461874175906758,24.234697976921268,24.4394073805247,24.435136412651275,24.56945661918519,25.145083908036383,25.11213795406337,25.505066980472407,26.416096350094733,26.074484417294627,
temp on shaded tree while lying at the height of: 84 cm,18.627514074325745,19.263185325208156,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,14.915515296291233,18.36579715372443,22.273615310722448,24.09613173464396,24.278824863928833,24.248993532696545,24.395141833351545,25.000260048431244,24.926003260222103,25.35302851562801,26.31874965338261,25.942987682586306,
temp on shaded tree while lying at the height of: 102 cm,18.252162574708052,18.998084963301324,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,14.887252498373016,18.284065946465716,22.130648893431783,23.98149290787609,24.153962532387084,24.1196968378228,24.25007422157688,24.88017405344584,24.788079328250944,25.229173936883512,26.25124268181156,25.839897654362687,
temp on shaded tree while lying at the height of: 120 cm,17.936639685898967,18.788541879942784,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,14.863356685223607,18.213426558114634,22.024297548667448,23.87901683844575,24.042048458057764,23.987224763782933,24.127588482255078,24.788356644989108,24.67806131792986,25.143824273744087,26.201039099470165,25.76214254215739,
