daylight?,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,
temp in shade while lying,-9.259294479809967,-9.259294479809967,-9.259294479809967,-9.259294479809967,-9.259294479809967,-9.259294479809967,-9.259294479809967,-9.259294479809967,-9.259294479809967,-9.259294479809967,-9.259294479809967,-9.259294479809967,-9.259294479809967,-9.259294479809967,-9.259294479809967,-12.58202842499378,-10.548513600161641,-8.322978700949989,-7.142515517272784,-6.376385897657485,-5.988179471965452,-5.956989392458524,-6.327063364048513,-7.312770147091442,
temp in shade while standing,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-10.64952271941911,-9.09694060606455,-7.2022025908297,-6.2024248366672055,-5.554162342150903,-5.231797027091602,-5.214440658836281,-5.52205386522553,-5.575496476232104,
temp in open while lying,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-13.513878329291686,-9.6085600582702,-6.085573151470044,-4.110267003975139,-3.0847150452524374,-2.9335451290434094,-3.6028424666803858,-5.1213247212443775,-7.423281221682942,
temp in open while standing,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-11.353723060961045,-8.285882133454209,-5.317373505195121,-3.648809030190762,-2.7646227638076084,-2.6301827135100666,-3.212838788078102,-4.506241359704916,-5.665541091736259,
temp on shaded tree while lying at the height of: 3 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-12.181439701723434,-9.869621122543208,-7.602594618948274,-6.4370293604546305,-5.688579983148998,-5.312804401311666,-5.3014632694993225,-5.742098829900101,-6.979792974496775,
temp on shaded tree while lying at the height of: 12 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-13.512794962062571,-11.032137446305,-8.62874781066381,-7.482083477632102,-6.722064849124763,-6.30039734920706,-6.213412477449992,-6.550386920210883,-7.524407968735261,
temp on shaded tree while lying at the height of: 21 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-13.97963402032309,-11.436286177165073,-9.03485056580621,-7.935955035139443,-7.1840640924559125,-6.744169225511143,-6.607863492068589,-6.873375896751497,-7.690554210596815,
temp on shaded tree while lying at the height of: 30 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-14.267455272483971,-11.69214997185378,-9.28821446362042,-8.22422806718589,-7.5010502496856475,-7.045276577676702,-6.871535060138115,-7.077940473724425,-7.793455682854869,
temp on shaded tree while lying at the height of: 48 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-14.63395650737067,-12.014521524357122,-9.607348044521643,-8.622179153083835,-7.920733925725813,-7.452066122507745,-7.223243576708967,-7.350448501032645,-7.903961682287729,
temp on shaded tree while lying at the height of: 66 cm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-14.858071961782002,-12.20656801988298,-9.829399599062242,-8.898487887884812,-8.219482918769813,-7.737461159246834,-7.467537975616835,-7.534065874393207,-7.97648125553178,
