daylight?,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,
temp in shade while lying,31.862272794317278,32.813626175638944,31.725071692569486,26.642769822435753,24.683741931715247,23.368375935628194,22.478330210580168,21.851398444222525,21.233458575085592,20.601068307817854,20.144804857776762,19.793736574403056,19.43955684897867,27.280185927065247,29.83195886623514,31.48197437169199,32.31004120448915,33.005867967428685,33.2820868970054,33.371816530063654,33.36474688704726,33.512227997282764,35.02098472630672,36.608842447751385,
temp in shade while standing,32.94858929080971,33.57265843752538,32.527039806017,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,28.357215392036323,30.856322914292832,32.593346032628176,33.36018250785122,33.9989383978442,34.27923475406374,34.3819968397155,34.4044822740596,34.47698213657441,35.78400981332618,37.247626755208444,
temp in open while lying,39.94900727722825,37.04542311501217,32.96393572348103,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,27.512606497713193,31.870602861712825,36.272384467224924,39.77813917966466,42.54617203243822,44.48136266736185,45.65733789249589,46.045126992692985,45.66817194332134,45.07577139969243,44.0521267486173,
temp in open while standing,39.16356766171947,36.81040209220305,33.31974775612929,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,28.50211479161004,32.58786458304695,36.452185741173764,39.379449808359766,41.719564591290464,43.27024312811221,44.20540596533806,44.469830794985796,44.13400199603956,43.977785086543065,43.41846978479771,
temp on shaded tree while lying at the height of: 3 cm,32.37576688672027,33.18236917747964,31.517015542386446,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,27.599097296142304,30.2482195685742,31.88662474482595,32.63504446431165,33.24201081276436,33.44949728574426,33.51042981710469,33.51387272135213,33.706391599003155,35.25575269177341,36.948765191933944,
temp on shaded tree while lying at the height of: 12 cm,32.30945364564457,33.17972253640596,31.378665955147596,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,26.450713090412364,29.530067691982993,31.585916532926603,32.29773398437408,32.84172077076539,32.96258669825255,32.988013818179354,33.00189385162753,33.32353180369881,35.05515877536328,36.75111996730652,
temp on shaded tree while lying at the height of: 21 cm,32.36556453982337,33.210005539461804,31.359345378630337,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,26.01558893112491,29.256942275644064,31.496895030627,32.148359789233155,32.62285745656084,32.67783337177627,32.6750744220962,32.70921317016507,33.10159215261854,34.892926015491355,36.556134768852246,
temp on shaded tree while lying at the height of: 30 cm,32.42903461629595,33.23425373150894,31.360540949144422,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,25.750117171512898,29.08503781250397,31.450469352879452,32.04865979961113,32.463103093035045,32.47057711611336,32.452531246891056,32.49364490286712,32.93610072432739,34.76317198848926,36.39261901058495,
temp on shaded tree while lying at the height of: 48 cm,32.536827792816666,33.27564697184994,31.36548983522755,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,25.412811194683457,28.87438424911136,31.399215606938014,31.911703605889386,32.23995416812642,32.1675505452846,32.1235657959603,32.18609113005516,32.69499656457447,34.56739194480048,36.13498199849994,
temp on shaded tree while lying at the height of: 66 cm,32.624345185994855,33.3080193225922,31.384027021349482,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,25.1997573261429,28.73091492227576,31.372567630382434,31.815159750605915,32.07354424200736,31.946998148974387,31.877260558483897,31.958709415850706,32.52169834143467,34.41721419143022,35.93776091695224,
temp on shaded tree while lying at the height of: 84 cm,32.70426502637338,33.33873414236871,31.3948069772473,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,25.03307600896329,28.627239253414814,31.35397917324235,31.747731122918083,31.946291303288604,31.77098550144558,31.690663846818666,31.779036980872434,32.37941345276931,34.294157526007325,35.776421440074785,
temp on shaded tree while lying at the height of: 102 cm,32.77236424611806,33.359814975197764,31.41299020364329,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,24.909399527655182,28.54323459354066,31.343559482889816,31.689054149967433,31.840253292747605,31.62113172974398,31.53041809284599,31.633962183597532,32.26530425884505,34.188010055558266,35.6373933763752,
temp on shaded tree while lying at the height of: 120 cm,32.8274420151464,33.38193855899789,31.42235988060503,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,24.7998367045476,28.480747690957912,31.331691453615974,31.639051959952894,31.747505783411043,31.49704360588322,31.388579570785282,31.50773454891521,32.166626226253186,34.100793019076264,35.52204009567589,
temp on shaded tree while lying at the height of: 138 cm,32.880012387916565,33.399040198974205,31.435096477192303,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,24.71190133462187,28.42493312096616,31.329597668226995,31.59480387565418,31.665717348910107,31.38670291856789,31.26836222100502,31.389602747126048,32.08121753690688,34.02658431690236,35.41286616191928,
