daylight?,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,
temp in shade while lying,-10.467276801347168,-10.467276801347168,-10.467276801347168,-10.467276801347168,-10.467276801347168,-10.467276801347168,-10.467276801347168,-10.467276801347168,-10.467276801347168,-10.467276801347168,-10.467276801347168,-10.467276801347168,-10.467276801347168,-10.467276801347168,-13.24095349413426,-14.462694121296579,-11.531871080079611,-10.022949867591308,-9.026072055853604,-8.335206137994987,-7.941796148297101,-7.88936244189307,-8.107651820965884,-8.175566618980213,
temp in shade while standing,-9.865686326898526,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9.753958715751821,-11.814216141832503,-10.40479295708002,-9.169832996457046,-8.239111515045806,-7.580879783713669,-7.209406069209592,-7.1876022977041885,-7.437220986950763,-7.586041434728543,
temp in open while lying,-10.594435682374467,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-14.663656587433024,-12.320331713563462,-9.026723378401869,-6.506977382914954,-4.8007883358517915,-3.8448695608777257,-3.6800569797322282,-4.392400530937039,-5.772140340669409,-7.127951775541305,
temp in open while standing,-10.017926568199982,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-10.519306267935292,-10.2000561389994,-8.230739367363242,-6.122330849591322,-4.596311024915906,-3.7264226108844127,-3.5714067545613943,-4.204761098083964,-5.453041964238196,-6.736733365385021,
temp on shaded tree while lying at the height of: 3 cm,-10.005809601326575,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-13.328720261341061,-13.776717666127581,-10.802908050685687,-9.28715797769189,-8.292222672917205,-7.60154525509455,-7.1888532083359,-7.11153072108857,-7.316892140887035,-7.4128686841608555,
temp on shaded tree while lying at the height of: 12 cm,-10.75954788994693,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-15.733513990989195,-14.121766942497004,-11.443144993615078,-10.002979607065583,-9.041546996139857,-8.321010159551406,-7.852402921545547,-7.704084990503873,-7.8457209324478185,-7.942435635779248,
temp on shaded tree while lying at the height of: 21 cm,-11.056422648012642,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-15.933142515286079,-14.13825293957757,-11.664972093887172,-10.321829208356064,-9.40499079135219,-8.694353187702632,-8.198397703037699,-8.002493021089606,-8.096805756885317,-8.193476722090509,
temp on shaded tree while lying at the height of: 30 cm,-11.254251558924238,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-16.034042012361226,-14.107846308657543,-11.792034032733511,-10.531893004739118,-9.654362482445379,-8.95559911126054,-8.442857166351985,-8.211128603575787,-8.269573935027722,-8.366198998869947,
temp on shaded tree while lying at the height of: 48 cm,-11.507807638827387,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-16.176484786166725,-14.025145991974682,-11.963978482296625,-10.818376754540054,-9.999498786017341,-9.32123147706119,-8.783372270220411,-8.499110953679349,-8.506177621676898,-8.598438921047375,
temp on shaded tree while lying at the height of: 66 cm,-11.688175978254776,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-16.26067642562373,-13.968939745298655,-12.07016331403429,-11.01016962867908,-10.24774507605656,-9.58526726598501,-9.032938638997393,-8.709507056872951,-8.671440436431908,-8.767827451629046,
