daylight?,True,True,True,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,
temp in shade while lying,32.750995934495904,31.410278702743483,28.708008655041,22.5940739141912,20.438506811184197,19.10265882060935,18.086814037645183,17.22509406854556,16.411841972550803,15.518161364387026,14.667802203241479,13.98658153727024,16.152792736023628,25.097006235257084,27.52778963205236,28.926987897858396,29.085860569386853,30.345115368373968,31.86951062528783,32.78453397253321,33.409068525448276,33.52161942217748,33.47391795601868,32.7969888777634,
temp in shade while standing,33.47539578624287,32.14470175959161,29.5095317047398,nan,nan,nan,nan,nan,nan,nan,nan,nan,16.824829308392793,26.44340430248451,28.946020022212508,30.57432628819879,30.83552838944206,31.72866065699742,32.993085721461114,33.787468885148485,34.301744989313704,34.33451775787512,34.22731980943104,33.55071433585721,
temp in open while lying,36.503180568916605,33.03802541175679,28.65618362203918,nan,nan,nan,nan,nan,nan,nan,nan,nan,15.485161065572981,25.549231723175353,30.066700868319913,34.49762733688908,37.79140732881473,40.551562154093574,42.48058801124904,43.6451174281313,44.3099584781005,43.01407311956933,41.31074950654363,38.237207786918134,
temp in open while standing,36.72936359749377,33.46927511389066,29.31042062768273,nan,nan,nan,nan,nan,nan,nan,nan,nan,16.157254158200885,26.783908668110314,31.061815357895682,34.97913561452083,37.62742839374613,40.110925531448004,41.882789371328556,42.87210781261348,43.356056250988274,42.12524125485146,40.66216302294936,37.924965718908936,
temp on shaded tree while lying at the height of: 3 cm,33.05099116903256,31.664903820978623,28.551459438595998,nan,nan,nan,nan,nan,nan,nan,nan,nan,15.949515790975681,25.4212268276313,27.94062348375502,29.35084214835075,29.44245048857033,30.597615348867407,32.02205496363524,32.89099989228714,33.58709391701922,33.84679857879888,33.870381826112464,33.32491918986,
temp on shaded tree while lying at the height of: 12 cm,32.66735490961304,31.1532529312438,27.993935408654863,nan,nan,nan,nan,nan,nan,nan,nan,nan,15.69281567494619,23.723024908065042,26.897460385027728,28.722304280255457,28.709731146946126,29.827829004493992,31.258781345500495,32.1355799873769,32.83381023146188,33.17915070336534,33.31463496757567,32.86989526314335,
temp on shaded tree while lying at the height of: 21 cm,32.438406087662145,30.915427742573627,27.802742863484525,nan,nan,nan,nan,nan,nan,nan,nan,nan,15.623043780644423,23.075461871323455,26.53085493498253,28.541424787332687,28.468157789191594,29.504014186804454,30.86091014228066,31.687434371439736,32.346430714568214,32.73621860701303,32.94308178905948,32.58857058441157,
temp on shaded tree while lying at the height of: 30 cm,32.261830640794926,30.750092030937594,27.689199344364226,nan,nan,nan,nan,nan,nan,nan,nan,nan,15.592441412759115,22.681693228432152,26.316811603053395,28.456575401307703,28.322749449886544,29.305815824566423,30.57768711095781,31.358501235508413,31.98438745947101,32.40636575851852,32.6565656915555,32.37987990530519,
temp on shaded tree while lying at the height of: 48 cm,32.012365853976405,30.527338204364526,27.545298166169573,nan,nan,nan,nan,nan,nan,nan,nan,nan,15.559100301884712,22.188035644433626,26.049039880681164,28.3656575222833,28.152901873419182,29.03423088741249,30.18421946991907,30.882943639745577,31.443419444801805,31.910981127994205,32.236520951913235,32.07276909030952,
temp on shaded tree while lying at the height of: 66 cm,31.828433842420225,30.37732140417495,27.461001047074035,nan,nan,nan,nan,nan,nan,nan,nan,nan,15.55033557532073,21.862463969566193,25.88986656827484,28.318509268762114,28.050098929753347,28.862954799728243,29.904507819172125,30.539735506717477,31.044728966936816,31.54899628195369,31.925805292823668,31.842849777043625,
temp on shaded tree while lying at the height of: 84 cm,31.675546469545793,30.251393029421877,27.40566581506215,nan,nan,nan,nan,nan,nan,nan,nan,nan,15.542106313330237,21.629021788763396,25.76649520410291,28.294255757566873,27.97314636811791,28.718988575444314,29.68119501982659,30.26233446158909,30.730360657779727,31.25246806655082,31.673146389203453,31.666424641033473,
temp on shaded tree while lying at the height of: 102 cm,31.551297377108142,30.155889632246726,27.3558295923429,nan,nan,nan,nan,nan,nan,nan,nan,nan,15.539089975907984,21.43412689865005,25.672955521099425,28.27492977437163,27.911610905506564,28.60711811970384,29.49819894861656,30.030387662078965,30.458236401823854,31.002550200806184,31.456938354546878,31.51256140750786,
temp on shaded tree while lying at the height of: 120 cm,31.445233764787474,30.068695886447983,27.316172228498147,nan,nan,nan,nan,nan,nan,nan,nan,nan,15.542455996898525,21.282336004589183,25.605590438951765,28.267363558074976,27.877707757289272,28.52051417456829,29.337377687357673,29.827430366041426,30.2275888856243,30.79066308641785,31.277571643668807,31.380346405457374,
temp on shaded tree while lying at the height of: 138 cm,31.351764217964444,29.995790392980325,27.286207010102885,nan,nan,nan,nan,nan,nan,nan,nan,nan,15.541069510668024,21.15232037501511,25.542090460052464,28.26323744406045,27.834179859271444,28.440599482625316,29.203045830175085,29.657158820126313,30.026216339252983,30.608882764566715,31.11778795230896,31.267468798062907,
temp on shaded tree while lying at the height of: 156 cm,31.26840187672559,29.93527363117653,27.262736137881348,nan,nan,nan,nan,nan,nan,nan,nan,nan,15.54515180794175,21.033616450481475,25.487409159495087,28.26187038554656,27.808074633597585,28.372890448883652,29.079179746758427,29.502831277529026,29.848101912529614,30.441612982924653,30.972050673210617,31.166201420861,
temp on shaded tree while lying at the height of: 174 cm,31.187183306615395,29.87054201420392,27.23469894304276,nan,nan,nan,nan,nan,nan,nan,nan,nan,15.54371056966977,20.93549496796686,25.44124456760653,28.262626132810794,27.78280789460291,28.31172378583517,28.96610298190683,29.363200434821408,29.684011547148657,30.289551094136584,30.844612341224263,31.076242449258984,
temp on shaded tree while lying at the height of: 198 cm,31.100085426892576,29.807247957261325,27.209806624071405,nan,nan,nan,nan,nan,nan,nan,nan,nan,15.547501704557192,20.81945128805637,25.388421688995663,28.25725863471672,27.75049725810186,28.238777776993516,28.840204571895697,29.193705968944528,29.488002125390324,30.106876424191398,30.688278554718067,30.96581710117681,
temp on shaded tree while standing at the height of: 3 cm,33.83694845942165,32.527646290633186,29.58692984357998,nan,nan,nan,nan,nan,nan,nan,nan,nan,16.807973950548558,26.809702372266656,29.29413563673762,30.784764202306462,30.88541735006453,31.687398509273123,32.898941270524176,33.668957231659306,34.24321809730026,34.46967559204995,34.4939188408556,34.01842813848123,
temp on shaded tree while standing at the height of: 12 cm,33.36508858597659,31.822483830922238,28.752582319568262,nan,nan,nan,nan,nan,nan,nan,nan,nan,16.39640361138055,24.316526220531387,27.727662931294958,29.767834111752222,29.764270343466194,30.592595088271253,31.918288667630748,32.76919972989981,33.40266489003784,33.74096324527392,33.89265754910292,33.49513726369048,
temp on shaded tree while standing at the height of: 21 cm,33.081295422739345,31.500491131061096,28.4601420041202,nan,nan,nan,nan,nan,nan,nan,nan,nan,16.273948639466653,23.363373249069184,27.16763244404507,29.44455518658998,29.38062319043911,30.13662907563281,31.416117217182034,32.23366048956365,32.84317232054127,33.239700575774236,33.4722621623053,33.16660257176511,
temp on shaded tree while standing at the height of: 30 cm,32.861363670822186,31.278055212070115,28.285521351644206,nan,nan,nan,nan,nan,nan,nan,nan,nan,16.213314377431175,22.783391668205866,26.83719636144616,29.281294083071316,29.14627463124998,29.85992547156701,31.060119001839723,31.838339101120482,32.42247466318332,32.859401463041195,33.14243968011107,32.92097433421708,
temp on shaded tree while standing at the height of: 48 cm,32.547646515823715,30.97806987024029,28.064374548712976,nan,nan,nan,nan,nan,nan,nan,nan,nan,16.144115566171536,22.052945223765732,26.42162755492916,29.089562639546614,28.8674889600116,29.480305921287822,30.564529105517522,31.263047947746657,31.785180547328252,32.281948974478496,32.6515164945435,32.554910571848666,
